Student,LPIPS,SSIM
112590035.png,0.0,1.0
112590026.png,0.23875780403614044,0.6425231618752544
112590021.png,0.2660595178604126,0.5969103132482747
110590456.png,0.27561742067337036,0.6265437776392065
112590057.png,0.2851945161819458,0.6348749190207815
112590023.png,0.29976722598075867,0.6826836232225203
111332012.png,0.32836881279945374,0.6526564421839713
112590060.png,0.33034080266952515,0.6574614838307101
112590036.png,0.3482934236526489,0.6553740896430735
112590007.png,0.3561180830001831,0.6412805848450684
112590005.png,0.3638685941696167,0.6170539932083091
112590038.png,0.36488810181617737,0.651205643274854
112590041.png,0.3669421076774597,0.6102761839769538
110820009.png,0.40352004766464233,0.5899931930384615
112590029.png,0.40481773018836975,0.6906048302924996
112590009.png,0.4227144420146942,0.5941618348493005
112590056.png,0.4271478056907654,0.6823226353134336
112590059.png,0.4353123903274536,0.6586672243970852
112590018.png,0.442485511302948,0.4851811155458718
112590024.png,0.44416242837905884,0.4916818054479845
112590033.png,0.4451388120651245,0.6260821846179802
112590003.png,0.44745662808418274,0.6782654992770821
112590030.png,0.45532023906707764,0.6299403064833125
112590012.png,0.471353679895401,0.682834705046229
110590041.png,0.5087442398071289,0.6093672475565248
